L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
2062;PL080-0338;Szybowce stosowane w lotnictwie sportowym są zazwyczaj konstruowane tak, aby:;po wejściu w korkociąg, był to korkociąg stromy;po wejściu w korkociąg, był to korkociąg płaski;nie dało się ich wprowadzić w korkociąg;momentalnie, samoczynnie następowało wyprowadzenie z korkociągu
2063;PL080-0339;Szybowiec podczas lotu w fazie przeciągnięcia jest:;niestateczny statycznie poprzecznie i podłużnie;tylko niestateczny statycznie podłużnie;tylko niestateczny statycznie poprzecznie;stateczny statycznie poprzecznie i podłużnie
2064;PL080-0340;Szybowiec w fazie autorotacji charakteryzuje się:;niestatecznością statyczną poprzeczną;zwiększoną statecznością statyczną poprzeczną;zmniejszoną statecznością statyczną poprzeczną;statecznością statyczną poprzeczną obojętną
2065;PL080-0341;W celu wyprowadzenia szybowca z fazy autorotacji należy w kolejności:;"-wychylić ster kierunku w stronę przeciwną do kierunku przechylania; - odepchnąć drążek sterowy";"-wychylić ster kierunku w stronę przeciwną do kierunku przechylania; - pociągnąć drążek sterowy";"-wychylić lotki w stronę przeciwną do kierunku przechylania; - pociągnąć drążek sterowy";"-wychylić lotki w stronę przeciwną do kierunku przechylania; - odepchnąć drążek sterowy"
2066;PL080-0342;W celu wyprowadzenia szybowca z fazy przeciągnięcia do lotu ustalonego należy:;zwiększyć siłę nośną na skrzydle poprzez oddanie drążka sterowego;zwiększyć siłę nośną na skrzydle poprzez pociągnięcie drążka sterowego;zmniejszyć siłę nośną na skrzydle poprzez pociągnięcie drążka sterowego;zmniejszyć siłę nośną na skrzydle poprzez oddanie drążka sterowego
2067;PL080-0343;W celu wyprowadzenia szybowca z korkociągu należy w kolejności:;"-wychylić ster kierunku w stronę przeciwną do kierunku przechylania; - odepchnąć drążek sterowy; -po ustaniu obrotów rozpędzić szybowiec i wyprowadzić z lotu nurkowego";"-wychylić ster kierunku w stronę przeciwną do kierunku przechylania; - pociągnąć drążek sterowy; -po ustaniu obrotów rozpędzić szybowiec i wyprowadzić z lotu nurkowego";"-wychylić lotki w stronę przeciwną do kierunku przechylania; - pociągnąć drążek sterowy; -po ustaniu obrotów rozpędzić szybowiec i wyprowadzić z lotu nurkowego";"-wychylić lotki w stronę przeciwną do kierunku przechylania; - odepchnąć drążek sterowy; -po ustaniu obrotów rozpędzić szybowiec i wyprowadzić z lotu nurkowego"
2068;PL080-0344;W celu zmniejszenia pochylenia szybowca:;należy wychylić drążek sterowy na siebie;należy wychylić ster wysokości w dół;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w górę”;przyrost momentu pochylającego szybowiec musi mieć wartość dodatnią
2069;PL080-0345;W celu zmniejszenia pochylenia szybowca:;przyrost momentu pochylającego szybowiec musi mieć wartość do ujemną;należy wychylić ster wysokości w dół;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w górę”;należy wychylić drążek sterowy od siebie
2070;PL080-0346;W celu zmniejszenia pochylenia szybowca:;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w dół”;należy wychylić ster wysokości w dół;przyrost momentu pochylającego szybowiec musi mieć wartość dodatnią;należy wychylić drążek sterowy od siebie
2071;PL080-0347;W celu zmniejszenia pochylenia szybowca:;należy wychylić ster wysokości w górę;przyrost momentu pochylającego szybowiec musi mieć wartość dodatnią;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w górę”;należy wychylić drążek sterowy od siebie
2072;PL080-0348;W celu zwiększenia pochylenia szybowca:;należy wychylić drążek sterowy od siebie;przyrost momentu pochylającego szybowiec musi mieć wartość do ujemną;należy wychylić ster wysokości do góry;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w dół”
2073;PL080-0349;W celu zwiększenia pochylenia szybowca:;należy wychylić ster wysokości w dół;należy wychylić drążek sterowy na siebie;przyrost momentu pochylającego szybowiec musi mieć wartość do ujemną;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w dół”
2074;PL080-0350;W celu zwiększenia pochylenia szybowca:;wektor przyrostu siły nośnej na usterzeniu poziomym musi mieć zwrot „w górę”;należy wychylić drążek sterowy na siebie;należy wychylić ster wysokości do góry;przyrost momentu pochylającego szybowiec musi mieć wartość do ujemną
2075;PL080-0352;W jakim dokumencie zawarte są informacje o osiągach statku powietrznego (śmigłowca, samolotu, szybowca etc)?;W instrukcji użytkowania w locie;W technicznym opisie obsługi;W biuletynach bezpieczeństwa IKCSP;W rozporządzeniach Urzędu Lotnictwa Cywilnego
2076;PL080-0353;W jakim profilu wywoływana zmianami kąta natarcia wędrówka środka parcia jest najmniejsza ?;w profilu symetrycznym;w profilu laminarnym;w profilu niesymetrycznym;w profilu wklęsło- wypukłym
2077;PL080-0354;W spokojnym powietrzu, optymalny kąt toru lotu ‘ϒ’, podczas wzrostu ciężaru szybowca:;pozostaje niezmieniony;wzrasta;maleje;zmienia się i można go odczytać wykreślając biegunową szybowca
2078;PL080-0355;W ustalonym locie poziomym prostoliniowym współczynnik obciążenia szybowca ‘n’ wynosi:;n=1;n=0;0<n<1;n>1
2079;PL080-0356;W ustalonym zakręcie współczynnik obciążenia szybowca ‘n’ wynosi:;n>1;n=1;n=0;0<n<1
2080;PL080-0357;W wyniku niewielkiego zwiększania kąta natarcia α=α optymalne :;"procentowe zwiększenie ""Cx"" będzie większe od procentowego zwiększenia ""Cz""";"procentowe zwiększenie ""Cz"" będzie większe od procentowego zwiększenia ""Cx""";"procentowe zwiększenie ""Cx"" będzie takie same jak procentowe zwiększenia ""Cz""";doskonałość profilu nieznacznie wzrośnie
2081;PL080-0358;W wyniku niewielkiego zwiększania kąta natarcia α=α optymalne :;stosunek Cz/Cx zmaleje;stosunek Cz/Cx wzrośnie;stosunek Cz/Cx nie zmieni się;doskonałość profilu nieznacznie wzrośnie
2082;PL080-0359;W wyniku niewielkiego zwiększania kąta natarcia α=α optymalne :;doskonałość profilu zmaleje;doskonałość profilu wzrośnie;doskonałość profilu nie zmieni się;stosunek Cz/Cx wzrośnie
2083;PL080-0362;Wychylenie lotek o jednakowy kąt w lewo podczas lotu w fazie przeciągnięcia najczęściej spowoduje:;przechylenie się szybowca w prawo i rozpoczęcie autorotacji;przechylenie się szybowca w lewo;przechylanie się szybowca w prawo do chwili powrotu drążka do neutrum;"przechylenie się szybowca w lewo; do chwili powrotu drążka do neutrum"
2084;PL080-0363;Wychyleniu klap towarzyszy zwykle:;"- wzrost Cz; - wzrost Cx; - spadek doskonałości szybowca";"- wzrost Cz; - wzrost Cx; - wzrost doskonałości szybowca";"- wzrost Cz; - wzrost Cx; - nie zmieniona doskonałość szybowca";- tylko wzrost Cz i doskonałości szybowca
2085;PL080-0364;Wykres zależności prędkości opadania szybowca w funkcji promienia zakrętu w = f(R) nazywamy:;biegunową krążenia szybowca;biegunową prędkości szybowca;biegunową szybowca;biegunową wyrwania szybowca
2086;PL080-0365;Wysunięcie płyt hamulców aerodynamicznych powoduje:;spadek siły nośnej na skrzydle i wzrost siły oporu;spadek siły nośnej na skrzydle, a siła oporu nie zmienia się;wzrost siły oporu, a siła nośna nie zmienia się;silny moment zadzierający szybowiec
2087;PL080-0369;Z jaką właściwością związany jest spadek prędkości powietrza w warstwie przyściennej profilu lotniczego;lepkością powietrza;gęstością powietrza;bezwładnością powietrza;chwiejnością powietrza
2088;PL080-0371;Zapas stateczności statycznej podłużnej szybowca to:;odległość pomiędzy środkiem ciężkości szybowca i środkiem równowagi obojętnej;odległość pomiędzy środkiem ciężkości szybowca i środkiem aerodynamicznym płata;odległość pomiędzy środkiem równowagi obojętnej i środkiem aerodynamicznym płata;odległość pomiędzy środkiem aerodynamicznym usterzenia i środkiem aerodynamicznym płata
2089;PL080-0372;Zdolność do samoczynnego powrotu szybowca do położenia równowagi, gdy przestaną działać zakłócenia, które tę równowagę naruszyły nazywamy:;statecznością dynamiczną;statecznością statyczną;stabilnością statyczną;sterownością dynamiczną
2090;PL080-0373;Aby wyprowadzić samolot z wyślizgu w zakręcie i wykonać zakręt prawidłowy należy:;zwiększyć przechylenie lub zmniejszyć prędkość kątową zakrętu;zmniejszyć przechylenie lub zwiększyć prędkość kątową zakrętu;zwiększyć przechylenie lub zwiększyć prędkość kątową zakrętu;zmniejszyć przechylenie lub zmniejszyć prędkość kątową zakrętu
2091;PL080-0374;Aby wyprowadzić samolot z ześlizgu w zakręcie i wykonać zakręt prawidłowy należy:;zmniejszyć przechylenie lub zwiększyć prędkość kątową zakrętu;zwiększyć przechylenie lub zwiększyć prędkość kątową zakrętu;zmniejszyć przechylenie lub zmniejszyć prędkość kątową zakrętu;zwiększyć przechylenie lub zmniejszyć prędkość kątową zakrętu
2092;PL080-0377;Co to za zasada?:„W tunelu przez który przepływa powietrze iloczyn pola przekroju i prędkości powietrza jest stały S*v=const;zasada ciągłości ruchu;zasada Bernouli’ego;prawo Bernouli’ego;zasada zachowania pędu
2093;PL080-0378;Co to za zasada?:„W tunelu, przez który przepływa powietrze, suma ciśnienia statycznego i dynamicznego jest stała w każdym punkcie tego przepływu”;prawo Bernouli’ego;zasada ciągłości ruchu;zasada zachowania energii przepływu;zasada zachowania ciśnienia przepływu zamkniętego
2094;PL080-0380;Czy między sterownością i statecznością obiektu latającego (samolotu, śmigłowca, lotni etc) istnieją jakieś wzajemne relacje ?;Działają przeciw sobie;Współdziałają;Nie ma między nimi żadnych relacji;Stateczność wspomaga sterowność podłużną
2095;PL080-0381;"Czy sprawność ""h"" śmigła nieprzestawialnego może przyjmować wartość zerową? Jeżeli tak, to w jakim przypadku?";"- śmigło się obraca, a samolot ma prędkość ν=0; - na prędkości lotu ν tak dużej, że śmigło nie daje już ciągu";tylko wtedy, gdy śmigło się obraca, a samolot ma prędkość ν=0;tylko na prędkości lotu ν tak dużej, że śmigło nie daje już ciągu;h nie może przyjmować wartości zerowej
2096;PL080-0386;Gdy powietrze przepływa przez kanał o zmiennej powierzchni przekroju zmienia się w nim ciśnienie statyczne. Jak?;zmniejsza się przy maleniu powierzchni przekroju;zmniejsza się przy wzroście powierzchni przekroju;nie zmienia się wcale;zwiększa się przy maleniu powierzchni przekroju
2097;PL080-0388;Jak się zachowuje obiekt (samolot, śmigłowiec, lotnia etc) niestateczny dynamicznie po wytrąceniu z równowagi?;Obiekt wykonuje ruch, najczęściej harmoniczny, o rosnącej amplitudzie;Obiekt wykonuje ruch, najczęściej harmoniczny, o malejącej amplitudzie;Obiekt zachowuje położenie po wytrąceniu z równowagi;Obiekt przyjmuje pozycję coraz bardziej odległą od położenia równowagi
2098;PL080-0389;Jak się zachowuje obiekt (samolot, śmigłowiec, lotnia etc) stateczny dynamicznie po wytrąceniu z równowagi?;Obiekt wykonuje ruch, najczęściej harmoniczny, o malejącej amplitudzie;Obiekt zachowuje położenie, do którego doszedł po wytrąceniu z równowagi;Wykonuje ruch, najczęściej harmoniczny, o rosnącej amplitudzie;Natychmiast po ustaniu impulsu wytrącającego powraca do pozycji równowagi
2099;PL080-0390;Jak zachowuje się szkodliwy opór przy wzroście prędkości lotu?;Wzrasta z kwadratem prędkości;Pozostaje stały;Maleje proporconalnie do odwrotności prędkości;Waha się
2100;PL080-0391;Jak zachowuje się szkodliwy opór przy wzroście prędkości lotu?;Opór wzrasta z kwadratem prędkości;Opór pozostaje stały;Opór maleje proporcjonalnie do odwrotności prędkości;Opór waha się
2101;PL080-0392;Jak zmieni się siła odśrodkowa przy tej samej prędkości lotu w zakręcie jeśli zmniejszy się jego promień?;Zwiększy się;Zmniejszy się;Pozostanie bez zmiany;Zmaleje do zera
2102;PL080-0393;Jak zmieni się siła odśrodkowa przy tej samej prędkości lotu w zakręcie jeśli zmniejszy się jego promień?;Siła odśrodkowa zwiększy się;Siła odśrodkowa zmniejszy się;Siła odśrodkowa pozostanie bez zmiany;Siła odśrodkowa zmaleje do zera
2103;PL080-0396;Jak zmienia się prędkość minimalna i prędkość maksymalna lotu poziomego wraz ze wzrostem wysokości lotu?;υmin rośnieυmax maleje;υmin rośnieυmax rośnie;υmin malejeυmax maleje;υmin malejeυmax rośnie
2104;PL080-0402;Jakie zmiany położenia będą odpowiedzialne za wywoływanie momentu giroskopowego zespołu napędowego?;"- pochylanie; - odchylanie";"- pochylanie; - przechylanie";"- odchylanie; - przechylanie";"- rozpędzanie; - hamowanie"
2105;PL080-0403;Jeżeli autorotacja skrzydła nie zostanie zahamowana przez pilota, to:;samolot samoczynnie przejdzie w fazę lotu zwaną korkociągiem;samolot samoczynnie przejdzie w fazę lotu zwaną przeciągnięciem statycznym;samolot samoczynnie przejdzie w fazę lotu zwaną przeciągnięciem dynamicznym;samolot samoczynnie przejdzie w fazę ustalonego lotu nurkowego
2106;PL080-0404;Jeżeli posuw wzrasta to:;kąty natarcia poszczególnych przekrojów śmigła maleją;kąty natarcia poszczególnych przekrojów śmigła rosną;kąty natarcia poszczególnych przekrojów śmigła nie zmieniają się;kąty natarcia poszczególnych przekrojów śmigła osiągają wartości krytyczne
2107;PL080-0405;Jeżeli środek ciężkości samolotu pokrywa się ze środkiem równowagi obojętnej to:;samolot nie jest stateczny i nie jest niestateczny;samolot jest stateczny;samolot jest niestateczny;samolot jest niesterowny
2108;PL080-0406;Jeżeli środek ciężkości samolotu z profilem klasycznym znajduje się przed środkiem równowagi obojętnej to:;samolot jest stateczny;samolot jest niestateczny;samolot jest statycznie obojętny;samolot nie jest stateczny i nie jest niestateczny
2109;PL080-0407;Jeżeli środek ciężkości samolotu z profilem klasycznym znajduje się za środkiem równowagi obojętnej to:;samolot jest niestateczny;samolot jest niesterowny;samolot jest stateczny;samolot nie jest stateczny i nie jest niestateczny
2110;PL080-0408;Jeżeli znacznie zwiększymy prędkość lotu przy stałej prędkości obrotowej śmigła nieprzestawialnego , to:;kąt natarcia łopat śmigła zmaleje;kąt natarcia łopat śmigła nieznacznie wzrośnie;kąt natarcia łopat śmigła nie zmieni się;kąt natarcia łopat śmigła znacznie wzrośnie
2111;PL080-0409;Jeżeli znacznie zwiększymy prędkość obrotową śmigła nieprzestawialnego , przy stałej prędkości lotu, to:;kąt natarcia łopat śmigła wzrośnie;kąt natarcia łopat śmigła nieznacznie zmaleje;kąt natarcia łopat śmigła nie zmieni się;kąt natarcia łopat śmigła znacznie zmaleje
2112;PL080-0410;Kąty natarcia poszczególnych przekrojów śmigła osiągną wartość ujemną:;jeżeli posuw będzie odpowiednio duży;jeżeli posuw będzie ujemny;jeżeli posuw będzie równy zero;jeżeli posuw będzie równy jeden
2113;PL080-0411;Kiedy kąt natarcia śmigła α=0° ?;wtedy, kiedy poślizg śmigła S=0;wtedy, kiedy prędkość samolotu ν=0;wtedy, kiedy skok rzeczywisty śmigła Hrz=0;nigdy
